Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Afghanistan,2018,500,500,200,610,Eastern_Mediterranean
Albania,2018,NULL,NULL,NULL,NULL,Europe
Algeria,2018,200,200,200,200,Africa
Angola,2018,14000,14000,9500,18000,Africa
Argentina,2018,1700,1700,1300,2100,Americas
Armenia,2018,200,200,100,200,Europe
Australia,2018,200,200,200,500,Western_Pacific
Austria,2018,NULL,NULL,NULL,NULL,Europe
Azerbaijan,2018,NULL,NULL,NULL,NULL,Europe
Bahamas,2018,200,200,200,500,Americas
Bahrain,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Bangladesh,2018,580,580,500,680,South_East Asia
Barbados,2018,100,100,100,100,Americas
Belarus,2018,500,500,200,500,Europe
Belgium,2018,NULL,NULL,NULL,NULL,Europe
Belize,2018,200,200,200,500,Americas
Benin,2018,2200,2200,1100,4400,Africa
Bhutan,2018,100,100,100,200,South_East Asia
Bolivia (Plurinational State of),2018,670,670,550,760,Americas
Bosnia and Herzegovina,2018,100,100,100,100,Europe
Botswana,2018,4800,4800,4100,5700,Africa
Brazil,2018,15000,15000,11000,19000,Americas
Brunei Darussalam,2018,NULL,NULL,NULL,NULL,Western_Pacific
Bulgaria,2018,100,100,100,100,Europe
Burkina Faso,2018,3300,3300,2400,4400,Africa
Burundi,2018,1900,1900,1400,2500,Africa
Cabo Verde,2018,100,100,100,100,Africa
Cambodia,2018,1300,1300,920,1900,Western_Pacific
Cameroon,2018,18000,18000,15000,21000,Africa
Canada,2018,NULL,NULL,NULL,NULL,Americas
Central African Republic,2018,4800,4800,3700,6400,Africa
Chad,2018,3100,3100,2000,4500,Africa
Chile,2018,590,590,500,770,Americas
China,2018,NULL,NULL,NULL,NULL,Western_Pacific
Colombia,2018,NULL,NULL,NULL,NULL,Americas
Comoros,2018,100,100,100,100,Africa
Congo,2018,4000,4000,2800,5400,Americas
Costa Rica,2018,500,500,200,500,Americas
Côte d'Ivoire,2018,16000,16000,11000,23000,Africa
Croatia,2018,100,100,100,100,Europe
Cuba,2018,500,500,500,580,Americas
Cyprus,2018,NULL,NULL,NULL,NULL,Europe
Czechia,2018,100,100,100,100,Europe
Democratic People's Republic of Korea,2018,NULL,NULL,NULL,NULL,Western_Pacific
Democratic Republic of the Congo,2018,13000,13000,10000,17000,Africa
Denmark,2018,100,100,100,100,Europe
Djibouti,2018,500,500,500,550,Eastern_Mediterranean
Dominican Republic,2018,1200,1200,750,1900,Americas
Ecuador,2018,620,620,500,1500,Americas
Egypt,2018,500,500,500,500,Eastern_Mediterranean
El Salvador,2018,700,700,500,1000,Americas
Equatorial Guinea,2018,1800,1800,1200,2600,Africa
Eritrea,2018,500,500,500,890,Africa
Estonia,2018,100,100,100,200,Europe
Eswatini,2018,2400,2400,2000,2900,Africa
Ethiopia,2018,11000,11000,6800,19000,Africa
Fiji,2018,NULL,NULL,NULL,NULL,Western_Pacific
Finland,2018,100,100,100,100,Europe
France,2018,500,500,500,540,Europe
Gabon,2018,1200,1200,790,1700,Africa
Gambia,2018,980,980,650,1400,Africa
Georgia,2018,500,500,200,500,Europe
Germany,2018,500,500,500,670,Europe
Ghana,2018,14000,14000,11000,18000,Africa
Greece,2018,NULL,NULL,NULL,NULL,Europe
Guatemala,2018,2200,2200,2000,2400,Americas
Guinea,2018,4300,4300,3300,5400,Africa
Guinea-Bissau,2018,1800,1800,1400,2100,Africa
Guyana,2018,200,200,100,200,Americas
Haiti,2018,2700,2700,2200,3600,Americas
Honduras,2018,780,780,540,1100,Americas
Hungary,2018,100,100,100,100,Europe
Iceland,2018,100,100,100,100,Europe
India,2018,NULL,NULL,NULL,NULL,South_East Asia
Indonesia,2018,38000,38000,33000,43000,South_East Asia
Iran (Islamic Republic of),2018,2600,2600,1400,5100,Eastern_Mediterranean
Ireland,2018,100,100,100,100,Europe
Israel,2018,100,100,100,100,Europe
Italy,2018,710,710,510,930,Europe
Jamaica,2018,1500,1500,1300,1800,Americas
Japan,2018,NULL,NULL,NULL,NULL,Western_Pacific
Jordan,2018,100,100,100,100,Eastern_Mediterranean
Kazakhstan,2018,500,500,500,530,Europe
Kenya,2018,25000,25000,18000,38000,Africa
Kuwait,2018,100,100,100,100,Eastern_Mediterranean
Kyrgyzstan,2018,200,200,200,500,Europe
Lao People's Democratic Republic,2018,500,500,500,500,Western_Pacific
Latvia,2018,100,100,100,100,Europe
Lebanon,2018,100,100,100,100,Eastern_Mediterranean
Lesotho,2018,6100,6100,5000,7600,Africa
Liberia,2018,1800,1800,1700,1900,Africa
Libya,2018,200,200,200,200,Eastern_Mediterranean
Lithuania,2018,NULL,NULL,NULL,NULL,Europe
Luxembourg,2018,100,100,100,100,Europe
Madagascar,2018,1700,1700,1200,2300,Africa
Malawi,2018,13000,13000,11000,16000,Africa
Malaysia,2018,2600,2600,2100,3300,Western_Pacific
Maldives,2018,NULL,NULL,NULL,NULL,South_East Asia
Mali,2018,6500,6500,5000,8700,Africa
Malta,2018,NULL,NULL,NULL,NULL,Europe
Mauritania,2018,500,500,200,500,Africa
Mauritius,2018,610,610,500,820,Africa
Mexico,2018,NULL,NULL,NULL,NULL,Americas
Mongolia,2018,100,100,100,100,Western_Pacific
Montenegro,2018,100,100,100,100,Europe
Morocco,2018,500,500,500,600,Eastern_Mediterranean
Mozambique,2018,54000,54000,39000,73000,Africa
Myanmar,2018,7800,7800,5900,11000,South_East Asia
Namibia,2018,2700,2700,2300,3200,Africa
Nepal,2018,910,910,700,1200,South_East Asia
Netherlands,2018,NULL,NULL,NULL,NULL,Europe
New Zealand,2018,100,100,100,100,Western_Pacific
Nicaragua,2018,200,200,200,500,Americas
Niger,2018,1200,1200,970,1700,Africa
Nigeria,2018,53000,53000,31000,89000,Africa
Norway,2018,100,100,100,100,Europe
Oman,2018,100,100,100,100,Eastern_Mediterranean
Pakistan,2018,6400,6400,5200,7600,Eastern_Mediterranean
Panama,2018,500,500,500,530,Americas
Papua New Guinea,2018,NULL,NULL,NULL,NULL,Western_Pacific
Paraguay,2018,720,720,500,1200,Americas
Peru,2018,1000,1000,650,1900,Americas
Philippines,2018,1200,1200,800,1700,Western_Pacific
Poland,2018,NULL,NULL,NULL,NULL,Europe
Portugal,2018,500,500,500,500,Europe
Qatar,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Republic of Korea,2018,NULL,NULL,NULL,NULL,Western_Pacific
Republic of Moldova,2018,570,570,500,860,Europe
Republic of North Macedonia,2018,100,100,100,100,Europe
Romania,2018,200,200,100,200,Europe
Russian Federation,2018,NULL,NULL,NULL,NULL,Europe
Rwanda,2018,2900,2900,2400,3500,Africa
Saudi Arabia,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Senegal,2018,1300,1300,1000,1600,Africa
Serbia,2018,100,100,100,100,Europe
Sierra Leone,2018,2100,2100,1600,2800,Africa
Singapore,2018,100,100,100,100,Western_Pacific
Slovakia,2018,100,100,100,100,Europe
Slovenia,2018,100,100,100,100,Europe
Somalia,2018,710,710,530,1000,Eastern_Mediterranean
South Africa,2018,71000,71000,52000,91000,Africa
South Sudan,2018,9900,9900,6900,13000,Africa
Spain,2018,NULL,NULL,NULL,NULL,Europe
Sri Lanka,2018,200,200,200,500,South_East Asia
Sudan,2018,2900,2900,1400,5200,Eastern_Mediterranean
Suriname,2018,100,100,100,200,Americas
Sweden,2018,NULL,NULL,NULL,NULL,Europe
Switzerland,2018,NULL,NULL,NULL,NULL,Europe
Syrian Arab Republic,2018,100,100,100,100,Eastern_Mediterranean
Tajikistan,2018,500,500,500,500,Europe
Thailand,2018,18000,18000,13000,26000,South_East Asia
Timor-Leste,2018,NULL,NULL,NULL,NULL,South_East Asia
Togo,2018,3800,3800,3300,4200,Africa
Trinidad and Tobago,2018,NULL,NULL,NULL,NULL,Americas
Tunisia,2018,100,100,100,200,Eastern_Mediterranean
Turkey,2018,NULL,NULL,NULL,NULL,Europe
Turkmenistan,2018,NULL,NULL,NULL,NULL,Europe
Uganda,2018,23000,23000,19000,31000,Africa
Ukraine,2018,6100,6100,4700,8000,Europe
United Arab Emirates,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
United Kingdom of Great Britain and Northern Ireland,2018,NULL,NULL,NULL,NULL,Europe
United Republic of Tanzania,2018,24000,24000,20000,29000,Africa
United States of America,2018,NULL,NULL,NULL,NULL,Americas
Uruguay,2018,200,200,100,500,Americas
Uzbekistan,2018,1300,1300,1100,1500,Europe
Venezuela (Bolivarian Republic of),2018,NULL,NULL,NULL,NULL,Americas
Viet Nam,2018,4700,4700,3200,6200,Western_Pacific
Yemen,2018,500,500,200,520,Eastern_Mediterranean
Zambia,2018,17000,17000,13000,22000,Africa
Zimbabwe,2018,22000,22000,17000,27000,Africa
Afghanistan,2010,500,500,200,500,Eastern_Mediterranean
Albania,2010,NULL,NULL,NULL,NULL,Europe
Algeria,2010,200,200,100,200,Africa
Angola,2010,10000,10000,7300,13000,Africa
Argentina,2010,1600,1600,1300,2000,Americas
Armenia,2010,200,200,200,200,Europe
Australia,2010,500,500,200,500,Western_Pacific
Austria,2010,NULL,NULL,NULL,NULL,Europe
Azerbaijan,2010,NULL,NULL,NULL,NULL,Europe
Bahamas,2010,200,200,200,500,Americas
Bahrain,2010,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Bangladesh,2010,500,500,500,500,South_East Asia
Barbados,2010,100,100,100,100,Americas
Belarus,2010,200,200,100,500,Europe
Belgium,2010,NULL,NULL,NULL,NULL,Europe
Belize,2010,200,200,100,200,Americas
Benin,2010,2000,2000,980,4100,Africa
Bhutan,2010,100,100,100,500,South_East Asia
Bolivia (Plurinational State of),2010,1600,1600,1500,1800,Americas
Bosnia and Herzegovina,2010,100,100,100,100,Europe
Botswana,2010,7300,7300,6500,8000,Africa
Brazil,2010,15000,15000,11000,19000,Americas
Brunei Darussalam,2010,NULL,NULL,NULL,NULL,Western_Pacific
Bulgaria,2010,100,100,100,100,Europe
Burkina Faso,2010,4800,4800,3600,6300,Africa
Burundi,2010,5200,5200,4100,6400,Africa
Cabo Verde,2010,100,100,100,100,Africa
